"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20, 2019","212.25","211.35","213.98","210.42","26.67M","1.01%"
"Dec 19, 2019","210.13","209.61","211.37","209.23","12.17M","0.06%"
"Dec 18, 2019","210.00","208.53","210.05","208.04","13.50M","0.87%"
"Dec 17, 2019","208.18","208.69","208.87","206.82","11.30M","0.58%"
"Dec 16, 2019","206.97","206.33","209.15","206.19","16.74M","1.01%"
"Dec 13, 2019","204.91","205.76","207.10","203.77","19.28M","0.20%"
"Dec 12, 2019","204.50","203.71","206.00","202.00","22.49M","-0.07%"
"Dec 11, 2019","204.64","201.10","204.80","200.72","11.77M","2.09%"
"Dec 10, 2019","200.45","200.71","202.48","199.23","11.64M","0.86%"
"Dec 09, 2019","198.74","200.32","203.43","198.55","14.34M","-1.56%"
"Dec 06, 2019","201.89","201.11","202.00","199.51","14.10M","0.94%"
"Dec 05, 2019","200.00","196.93","200.94","196.43","22.31M","3.23%"
"Dec 04, 2019","193.74","195.53","196.66","193.23","14.86M","-0.60%"
"Dec 03, 2019","194.90","190.97","195.00","189.85","18.44M","-0.72%"
"Dec 02, 2019","196.31","198.58","198.67","193.51","19.41M","-1.85%"
"Nov 29, 2019","200.00","199.81","200.43","198.35","18.59M","-0.41%"
"Nov 27, 2019","200.82","197.24","200.98","197.00","33.13M","3.14%"
"Nov 26, 2019","194.70","190.39","195.00","189.04","51.89M","2.23%"
"Nov 25, 2019","190.45","188.32","190.72","187.88","19.19M","1.96%"
"Nov 22, 2019","186.78","185.80","186.78","183.94","10.54M","1.04%"
"Nov 21, 2019","184.86","181.77","184.89","181.60","10.25M","1.38%"
"Nov 20, 2019","182.35","183.67","183.70","181.06","16.69M","-1.57%"
"Nov 19, 2019","185.25","186.31","186.71","183.87","13.46M","0.35%"
"Nov 18, 2019","184.61","186.98","186.98","184.16","11.83M","-0.47%"
"Nov 15, 2019","185.49","184.00","185.60","183.71","11.31M","1.47%"
"Nov 14, 2019","182.80","182.87","184.50","181.32","12.75M","0.18%"
"Nov 13, 2019","182.48","185.47","185.67","181.00","15.43M","-2.40%"
"Nov 12, 2019","186.97","185.91","187.65","185.14","11.80M","0.14%"
"Nov 11, 2019","186.71","184.82","187.20","181.37","20.57M","-0.24%"
"Nov 08, 2019","187.16","187.90","188.28","185.15","19.74M","0.27%"
"Nov 07, 2019","186.66","187.07","188.07","184.69","20.16M","1.36%"
"Nov 06, 2019","184.16","183.61","185.00","182.20","14.83M","1.19%"
"Nov 05, 2019","182.00","181.42","183.20","180.31","23.69M","1.29%"
"Nov 04, 2019","179.69","180.66","182.40","178.02","44.54M","1.83%"
"Nov 01, 2019","176.46","179.01","182.12","176.06","28.92M","-0.12%"
"Oct 31, 2019","176.67","179.16","179.24","175.50","15.12M","-0.48%"
"Oct 30, 2019","177.53","175.42","177.88","173.94","10.21M","0.36%"
"Oct 29, 2019","176.89","177.06","177.74","175.44","8.03M","-1.00%"
"Oct 28, 2019","178.68","176.50","179.64","176.41","11.74M","2.51%"
"Oct 25, 2019","174.31","171.56","175.81","170.88","9.89M","1.02%"
"Oct 24, 2019","172.55","171.28","172.75","170.21","7.44M","1.55%"
"Oct 23, 2019","169.92","170.45","171.04","168.12","8.91M","0.02%"
"Oct 22, 2019","169.89","174.53","175.36","169.26","10.92M","-2.09%"
"Oct 21, 2019","173.52","172.64","173.91","170.87","9.06M","2.60%"
"Oct 18, 2019","169.13","176.00","176.23","169.00","14.59M","-4.37%"
"Oct 17, 2019","176.85","178.00","178.59","175.23","8.03M","-0.15%"
"Oct 16, 2019","177.12","175.80","177.35","174.12","10.90M","1.04%"
"Oct 15, 2019","175.29","172.91","176.75","172.69","13.81M","2.41%"
"Oct 14, 2019","171.16","172.84","173.34","170.79","7.86M","-1.03%"
"Oct 11, 2019","172.94","170.77","174.88","169.57","19.37M","4.14%"
"Oct 10, 2019","166.07","165.96","168.57","164.09","11.54M","0.53%"
"Oct 09, 2019","165.19","165.50","166.58","163.42","11.19M","2.01%"
"Oct 08, 2019","161.93","164.30","165.22","161.68","15.94M","-3.80%"
"Oct 07, 2019","168.32","168.83","172.30","167.21","12.03M","-1.19%"
"Oct 04, 2019","170.34","169.60","170.70","167.56","8.86M","0.51%"
"Oct 03, 2019","169.48","166.65","170.18","165.00","10.39M","2.24%"
"Oct 02, 2019","165.77","162.82","166.88","161.90","11.60M","0.38%"
"Oct 01, 2019","165.15","168.01","168.23","163.64","14.19M","-1.24%"
"Sep 30, 2019","167.23","169.89","170.20","166.45","14.95M","0.75%"
"Sep 27, 2019","165.98","176.00","176.50","163.15","33.31M","-5.15%"
"Sep 26, 2019","175.00","177.00","178.23","174.83","10.00M","-0.94%"
"Sep 25, 2019","176.66","172.30","176.99","171.72","11.84M","2.98%"
"Sep 24, 2019","171.55","179.17","179.49","171.30","14.55M","-3.07%"
"Sep 23, 2019","176.98","181.25","181.33","176.80","14.15M","-3.03%"
"Sep 20, 2019","182.51","182.31","183.82","178.84","24.82M","1.14%"
"Sep 19, 2019","180.46","180.90","184.13","180.43","15.16M","0.26%"
"Sep 18, 2019","180.00","179.15","180.17","177.58","9.29M","0.56%"
"Sep 17, 2019","179.00","176.85","179.12","176.05","7.57M","1.09%"
"Sep 16, 2019","177.07","177.75","179.17","175.37","10.73M","-1.17%"
"Sep 13, 2019","179.17","179.74","180.18","178.61","9.48M","0.52%"
"Sep 12, 2019","178.24","177.89","180.50","177.00","12.51M","1.22%"
"Sep 11, 2019","176.09","176.00","176.66","174.15","7.04M","0.63%"
"Sep 10, 2019","174.99","176.28","176.30","172.22","9.83M","-1.57%"
"Sep 09, 2019","177.78","177.88","177.99","175.86","6.93M","0.62%"
"Sep 06, 2019","176.69","179.01","179.22","176.21","8.30M","-1.26%"
"Sep 05, 2019","178.94","176.88","178.95","176.52","11.17M","2.64%"
"Sep 04, 2019","174.33","176.26","176.55","173.99","7.22M","1.11%"
"Sep 03, 2019","172.41","173.00","174.72","172.15","8.51M","-1.50%"
"Aug 30, 2019","175.03","174.35","175.25","172.66","10.30M","1.28%"
"Aug 29, 2019","172.81","171.00","173.96","170.95","11.58M","3.18%"
"Aug 28, 2019","167.48","164.64","168.00","164.20","9.51M","0.77%"
"Aug 27, 2019","166.20","167.20","168.19","165.19","12.78M","0.18%"
"Aug 26, 2019","165.90","166.49","167.45","165.53","8.65M","0.83%"
"Aug 23, 2019","164.54","169.69","171.49","163.83","20.91M","-4.29%"
"Aug 22, 2019","171.91","174.10","174.98","170.50","11.58M","-1.90%"
"Aug 21, 2019","175.24","177.22","178.50","174.89","10.63M","-1.11%"
"Aug 20, 2019","177.21","175.91","177.99","175.62","10.34M","-0.60%"
"Aug 19, 2019","178.28","177.43","178.80","175.59","16.01M","2.11%"
"Aug 16, 2019","174.60","170.00","177.55","168.57","25.95M","4.57%"
"Aug 15, 2019","166.97","170.11","171.00","164.36","36.34M","3.03%"
"Aug 14, 2019","162.06","161.34","163.00","159.21","20.80M","-1.20%"
"Aug 13, 2019","164.03","160.64","167.36","159.57","23.25M","2.96%"
"Aug 12, 2019","159.31","157.50","159.38","155.54","14.42M","0.12%"
"Aug 09, 2019","159.12","160.98","161.99","159.11","11.89M","-1.91%"
"Aug 08, 2019","162.22","161.71","162.30","159.12","19.27M","1.92%"
"Aug 07, 2019","159.17","155.73","159.48","155.30","17.92M","1.11%"
"Aug 06, 2019","157.43","158.48","158.73","156.11","25.00M","2.45%"
"Aug 05, 2019","153.67","155.03","157.23","151.85","28.91M","-4.55%"
"Aug 02, 2019","161.00","162.56","163.85","160.35","27.10M","-2.81%"
"Aug 01, 2019","165.65","174.54","175.71","162.10","32.73M","-4.31%"
"Jul 31, 2019","173.11","173.71","174.89","170.09","14.63M","-0.57%"
"Jul 30, 2019","174.10","174.25","175.71","172.89","14.30M","-1.65%"
"Jul 29, 2019","177.02","178.43","179.88","175.35","15.13M","-0.96%"
"Jul 26, 2019","178.74","178.25","179.40","176.88","15.28M","0.82%"
"Jul 25, 2019","177.29","178.49","179.15","175.37","14.05M","-0.77%"
"Jul 24, 2019","178.67","178.00","178.96","176.94","14.93M","0.33%"
"Jul 23, 2019","178.09","175.39","178.64","174.84","20.88M","2.35%"
"Jul 22, 2019","174.00","173.50","174.28","171.44","18.50M","0.58%"
"Jul 19, 2019","172.99","174.87","175.15","172.99","13.65M","0.11%"
"Jul 18, 2019","172.80","173.41","174.40","172.06","15.61M","-1.16%"
"Jul 17, 2019","174.82","172.75","176.22","172.49","15.03M","0.36%"
"Jul 16, 2019","174.19","174.20","175.52","173.46","19.04M","0.40%"
"Jul 15, 2019","173.50","171.50","173.75","170.42","22.20M","2.62%"
"Jul 12, 2019","169.07","168.00","170.20","167.65","18.10M","1.51%"
"Jul 11, 2019","166.55","167.56","168.42","165.00","14.80M","-0.23%"
"Jul 10, 2019","166.93","171.24","171.37","166.86","16.68M","-1.11%"
"Jul 09, 2019","168.80","167.09","168.98","166.50","15.78M","0.21%"
"Jul 08, 2019","168.45","170.09","170.28","168.35","16.53M","-2.80%"
"Jul 05, 2019","173.30","173.75","173.82","172.82","12.62M","-0.78%"
"Jul 03, 2019","174.67","175.69","175.85","173.85","8.53M","-0.44%"
"Jul 02, 2019","175.45","175.13","175.55","174.25","14.16M","0.23%"
"Jul 01, 2019","175.05","175.87","177.95","174.36","25.91M","3.30%"
"Jun 28, 2019","169.45","170.20","170.89","167.96","19.97M","-0.85%"
"Jun 27, 2019","170.90","170.62","171.98","169.38","18.35M","1.13%"
"Jun 26, 2019","168.99","168.28","171.24","168.15","22.42M","1.92%"
"Jun 25, 2019","165.80","167.04","167.34","164.62","20.45M","-1.37%"
"Jun 24, 2019","168.10","168.40","168.88","165.78","18.42M","0.33%"
"Jun 21, 2019","167.55","167.48","169.47","166.77","17.42M","-0.42%"
"Jun 20, 2019","168.25","170.19","170.48","166.28","24.00M","1.69%"
"Jun 19, 2019","165.46","167.77","167.90","163.42","20.80M","-0.03%"
"Jun 18, 2019","165.51","162.89","169.11","161.95","35.75M","3.50%"
"Jun 17, 2019","159.91","157.53","160.55","157.42","16.08M","1.14%"
"Jun 14, 2019","158.10","158.37","158.71","157.23","14.98M","-1.39%"
"Jun 13, 2019","160.33","160.55","161.32","159.80","17.57M","0.18%"
"Jun 12, 2019","160.04","160.47","161.70","158.81","16.33M","-1.60%"
"Jun 11, 2019","162.65","164.20","165.68","161.92","23.41M","1.75%"
"Jun 10, 2019","159.85","158.78","161.98","157.40","36.47M","3.64%"
"Jun 07, 2019","154.23","152.95","155.69","152.21","17.82M","1.80%"
"Jun 06, 2019","151.50","152.00","152.70","150.57","15.76M","-0.10%"
"Jun 05, 2019","151.65","155.17","156.11","149.31","23.21M","-1.62%"
"Jun 04, 2019","154.15","151.56","155.20","150.64","27.42M","2.83%"
"Jun 03, 2019","149.91","149.60","151.77","148.84","25.25M","0.44%"
"May 31, 2019","149.26","149.63","150.68","147.95","26.88M","-1.20%"
"May 30, 2019","151.07","152.36","153.37","150.25","17.34M","-0.92%"
"May 29, 2019","152.48","153.58","154.38","150.71","30.07M","-1.51%"
"May 28, 2019","154.81","156.40","157.07","153.22","38.60M","-0.12%"
"May 24, 2019","155.00","157.62","158.43","154.90","21.49M","-0.64%"
"May 23, 2019","156.00","155.45","158.48","154.41","26.89M","-1.78%"
"May 22, 2019","158.83","162.41","162.82","158.07","25.83M","-2.81%"
"May 21, 2019","163.43","163.16","165.59","162.52","22.01M","1.73%"
"May 20, 2019","160.65","164.44","164.57","160.02","33.41M","-5.26%"
"May 17, 2019","169.57","171.69","172.29","168.49","22.54M","-3.42%"
"May 16, 2019","175.57","178.18","178.25","174.75","20.58M","-1.14%"
"May 15, 2019","177.60","177.06","180.24","173.32","37.61M","1.58%"
"May 14, 2019","174.84","172.75","175.15","171.48","17.87M","2.84%"
"May 13, 2019","170.01","169.79","172.47","168.78","22.33M","-4.49%"
"May 10, 2019","178.00","180.18","180.79","174.10","18.99M","-0.58%"
"May 09, 2019","179.04","175.43","180.69","173.07","22.73M","-0.31%"
"May 08, 2019","179.59","180.95","183.20","178.58","16.61M","-1.01%"
"May 07, 2019","181.43","186.05","186.45","179.63","22.66M","-3.62%"
"May 06, 2019","188.24","185.17","189.00","184.83","23.94M","-3.57%"
"May 03, 2019","195.21","191.88","195.72","191.88","14.52M","2.53%"
"May 02, 2019","190.39","189.42","192.70","186.65","11.47M","0.57%"
"May 01, 2019","189.31","186.75","193.19","185.88","17.41M","2.02%"
"Apr 30, 2019","185.57","186.30","188.25","183.82","15.08M","-0.73%"
"Apr 29, 2019","186.94","187.42","188.00","185.76","8.66M","-0.08%"
"Apr 26, 2019","187.09","187.88","188.74","185.51","9.42M","-0.42%"
"Apr 25, 2019","187.88","185.24","188.13","183.96","10.33M","1.19%"
"Apr 24, 2019","185.67","186.76","186.90","184.58","9.09M","-0.86%"
"Apr 23, 2019","187.29","186.00","188.15","185.44","11.41M","1.03%"
"Apr 22, 2019","185.38","184.50","186.47","183.61","8.68M","-0.83%"
"Apr 18, 2019","186.94","186.41","187.28","185.39","7.88M","-0.33%"
"Apr 17, 2019","187.55","187.34","188.20","185.78","11.61M","0.95%"
"Apr 16, 2019","185.78","185.55","185.79","183.40","12.20M","1.48%"
"Apr 15, 2019","183.07","188.06","188.17","182.56","14.62M","-3.09%"
"Apr 12, 2019","188.91","187.71","189.79","187.14","12.60M","2.12%"
"Apr 11, 2019","184.98","185.15","186.06","183.75","8.90M","-0.65%"
"Apr 10, 2019","186.19","186.69","187.40","184.00","10.66M","-0.53%"
"Apr 09, 2019","187.19","186.49","187.89","186.16","11.58M","0.37%"
"Apr 08, 2019","186.50","184.19","187.82","184.01","14.73M","0.62%"
"Apr 05, 2019","185.35","182.51","185.50","182.00","18.71M","2.36%"
"Apr 04, 2019","181.07","177.04","181.96","176.89","17.00M","1.54%"
"Apr 03, 2019","178.32","179.51","180.70","176.76","26.82M","-1.88%"
"Apr 02, 2019","181.74","181.46","183.56","180.95","8.02M","0.47%"
"Apr 01, 2019","180.89","185.09","185.56","180.89","12.71M","-0.86%"
"Mar 29, 2019","182.45","180.73","182.60","179.00","13.85M","2.66%"
"Mar 28, 2019","177.73","177.47","178.53","175.97","7.23M","0.40%"
"Mar 27, 2019","177.03","177.70","179.83","176.91","8.37M","-0.59%"
"Mar 26, 2019","178.08","179.70","180.65","177.09","7.90M","-0.39%"
"Mar 25, 2019","178.77","174.33","178.90","174.10","7.51M","1.42%"
"Mar 22, 2019","176.26","179.77","180.48","175.34","11.69M","-2.89%"
"Mar 21, 2019","181.50","178.95","181.73","178.52","9.75M","0.12%"
"Mar 20, 2019","181.28","180.94","181.95","178.43","15.90M","-0.47%"
"Mar 19, 2019","182.14","181.63","183.36","180.85","10.24M","0.17%"
"Mar 18, 2019","181.83","181.93","182.89","180.76","7.85M","0.48%"
"Mar 15, 2019","180.97","180.66","181.45","179.66","10.84M","0.34%"
"Mar 14, 2019","180.36","179.06","180.82","178.01","9.27M","-0.19%"
"Mar 13, 2019","180.70","180.73","182.53","179.26","8.87M","0.04%"
"Mar 12, 2019","180.63","182.04","182.18","179.51","8.66M","0.12%"
"Mar 11, 2019","180.41","177.83","181.72","177.58","13.76M","3.07%"
"Mar 08, 2019","175.03","171.56","175.35","171.56","14.67M","-1.29%"
"Mar 07, 2019","177.32","180.91","181.80","176.73","16.49M","-3.72%"
"Mar 06, 2019","184.17","184.38","185.59","183.02","10.01M","-0.45%"
"Mar 05, 2019","185.00","186.94","188.08","185.00","11.51M","-1.20%"
"Mar 04, 2019","187.25","186.00","187.34","184.46","14.76M","1.83%"
"Mar 01, 2019","183.88","185.09","186.90","183.38","14.35M","0.46%"
"Feb 28, 2019","183.03","183.01","184.30","181.47","12.37M","-0.84%"
"Feb 27, 2019","184.58","181.72","184.93","180.88","16.74M","0.57%"
"Feb 26, 2019","183.54","179.79","184.35","179.37","13.87M","0.16%"
"Feb 25, 2019","183.25","181.26","183.72","180.73","22.83M","3.58%"
"Feb 22, 2019","176.92","172.80","177.02","172.52","16.18M","3.06%"
"Feb 21, 2019","171.66","171.00","171.78","169.80","8.43M","0.56%"
"Feb 20, 2019","170.71","171.00","172.68","170.61","12.45M","0.31%"
"Feb 19, 2019","170.18","166.98","171.15","166.50","12.98M","2.43%"
"Feb 15, 2019","166.15","168.61","168.77","165.41","12.10M","-1.32%"
"Feb 14, 2019","168.38","167.64","168.50","166.61","8.72M","-0.60%"
"Feb 13, 2019","169.40","169.91","171.05","168.99","8.66M","0.41%"
"Feb 12, 2019","168.71","169.60","170.49","168.61","8.59M","0.75%"
"Feb 11, 2019","167.45","168.85","170.33","167.45","7.26M","0.05%"
"Feb 08, 2019","167.36","163.83","167.65","163.75","8.33M","0.24%"
"Feb 07, 2019","166.96","169.16","169.61","164.34","11.91M","-2.66%"
"Feb 06, 2019","171.52","171.86","173.09","169.99","11.27M","-0.18%"
"Feb 05, 2019","171.83","168.55","171.95","168.00","12.80M","3.08%"
"Feb 04, 2019","166.70","166.32","167.55","165.61","7.38M","-0.76%"
"Feb 01, 2019","167.97","168.00","169.40","167.63","10.77M","-0.31%"
"Jan 31, 2019","168.49","167.80","169.73","165.70","21.22M","1.00%"
"Jan 30, 2019","166.82","161.29","167.84","160.50","37.00M","6.34%"
"Jan 29, 2019","156.88","159.04","160.37","155.92","18.35M","-1.28%"
"Jan 28, 2019","158.92","157.80","159.69","155.30","10.14M","-0.18%"
"Jan 25, 2019","159.21","158.91","160.50","157.43","16.46M","2.15%"
"Jan 24, 2019","155.86","151.47","156.00","151.21","11.00M","2.52%"
"Jan 23, 2019","152.03","154.65","155.18","150.95","10.20M","-0.08%"
"Jan 22, 2019","152.15","154.40","155.44","150.21","21.29M","-3.10%"
"Jan 18, 2019","157.02","158.45","159.49","154.73","19.61M","0.67%"
"Jan 17, 2019","155.97","152.11","158.55","151.90","16.15M","0.73%"
"Jan 16, 2019","154.84","152.81","155.39","151.50","14.81M","2.62%"
"Jan 15, 2019","150.88","150.68","154.17","149.96","15.00M","1.08%"
"Jan 14, 2019","149.27","148.50","150.57","146.54","13.36M","-1.35%"
"Jan 11, 2019","151.32","151.83","153.38","150.14","9.59M","-0.24%"
"Jan 10, 2019","151.69","149.81","152.03","148.88","14.22M","-0.15%"
"Jan 09, 2019","151.92","149.89","153.35","148.50","20.21M","3.49%"
"Jan 08, 2019","146.79","145.00","147.55","142.06","16.49M","2.58%"
"Jan 07, 2019","143.10","140.55","144.08","139.01","17.24M","2.40%"
"Jan 04, 2019","139.75","134.26","141.08","133.66","22.85M","7.01%"
"Jan 03, 2019","130.60","134.27","134.87","129.83","19.53M","-4.46%"
"Jan 02, 2019","136.70","134.13","137.75","133.03","16.71M","-0.27%"
"Dec 31, 2018","137.07","141.83","142.02","136.04","11.19M","-1.45%"
"Dec 28, 2018","139.09","139.20","140.98","136.79","11.96M","0.46%"
"Dec 27, 2018","138.45","135.05","138.45","133.89","11.46M","0.33%"
"Dec 26, 2018","138.00","132.87","138.02","130.18","14.86M","4.63%"
"Dec 24, 2018","131.89","130.00","134.57","129.77","11.24M","-0.08%"
"Dec 21, 2018","132.00","137.08","137.19","130.23","28.79M","-2.30%"
"Dec 20, 2018","135.11","135.83","137.75","132.91","24.10M","-1.48%"
"Dec 19, 2018","137.14","141.04","141.32","135.73","27.66M","-2.61%"
"Dec 18, 2018","140.82","144.28","144.75","140.11","17.85M","-2.19%"
"Dec 17, 2018","143.98","146.50","147.94","142.24","15.79M","-3.37%"
"Dec 14, 2018","149.00","147.71","150.70","145.72","15.56M","-1.64%"
"Dec 13, 2018","151.48","153.05","153.46","150.52","12.26M","-0.01%"
"Dec 12, 2018","151.50","155.24","156.17","151.43","16.62M","-0.22%"
"Dec 11, 2018","151.83","155.26","156.24","150.90","13.65M","0.26%"
"Dec 10, 2018","151.43","150.39","152.81","147.48","15.53M","-1.06%"
"Dec 07, 2018","153.06","155.40","158.05","151.73","17.45M","-1.78%"
"Dec 06, 2018","155.83","153.00","155.87","150.51","25.34M","-1.59%"
"Dec 04, 2018","158.34","164.88","164.98","156.46","22.20M","-3.30%"
"Dec 03, 2018","163.74","168.64","168.80","163.51","31.08M","1.79%"
"Nov 30, 2018","160.86","157.90","160.86","156.72","35.07M","2.93%"
"Nov 29, 2018","156.28","158.08","159.00","153.54","20.53M","-1.92%"
"Nov 28, 2018","159.34","159.01","159.80","155.26","20.77M","1.84%"
"Nov 27, 2018","156.46","154.64","157.94","153.58","17.91M","0.29%"
"Nov 26, 2018","156.01","153.21","156.53","152.37","16.15M","3.78%"
"Nov 23, 2018","150.33","147.30","151.17","147.00","7.44M","0.62%"
"Nov 21, 2018","149.41","149.06","151.48","148.65","14.72M","2.35%"
"Nov 20, 2018","145.98","144.48","148.07","142.82","19.47M","-2.37%"
"Nov 19, 2018","149.53","152.02","153.21","148.77","18.09M","-2.97%"
"Nov 16, 2018","154.10","155.04","155.80","152.14","20.04M","-1.36%"
"Nov 15, 2018","156.22","152.90","157.40","150.89","30.08M","3.84%"
"Nov 14, 2018","150.44","150.21","152.15","148.44","21.79M","2.35%"
"Nov 13, 2018","146.98","144.83","149.94","143.91","19.58M","2.91%"
"Nov 12, 2018","142.82","145.01","146.41","139.97","16.52M","-1.40%"
"Nov 09, 2018","144.85","145.57","145.72","142.48","16.22M","-2.78%"
"Nov 08, 2018","148.99","150.99","151.88","146.69","17.07M","-2.30%"
"Nov 07, 2018","152.50","150.77","152.80","148.94","17.88M","3.43%"
"Nov 06, 2018","147.44","145.87","149.96","145.32","17.85M","1.94%"
"Nov 05, 2018","144.64","146.22","149.37","144.23","16.20M","-2.00%"
"Nov 02, 2018","147.59","152.56","154.36","146.28","45.99M","-2.42%"
"Nov 01, 2018","151.25","144.98","152.32","138.62","47.04M","6.30%"
"Oct 31, 2018","142.28","141.35","142.65","139.14","23.65M","4.36%"
"Oct 30, 2018","136.33","132.28","136.40","130.06","25.23M","2.21%"
"Oct 29, 2018","133.38","142.42","144.00","131.36","35.12M","-6.64%"
"Oct 26, 2018","142.87","139.00","145.83","138.55","19.48M","-1.20%"
"Oct 25, 2018","144.60","142.50","144.91","141.01","13.66M","3.57%"
"Oct 24, 2018","139.61","145.18","146.69","139.34","18.51M","-4.80%"
"Oct 23, 2018","146.65","143.22","147.51","142.62","19.95M","-1.44%"
"Oct 22, 2018","148.80","148.99","150.20","146.10","22.59M","4.11%"
"Oct 19, 2018","142.93","145.34","146.77","142.61","14.86M","0.64%"
"Oct 18, 2018","142.02","145.85","146.28","140.80","20.62M","-4.13%"
"Oct 17, 2018","148.14","150.68","150.68","146.37","16.87M","-0.98%"
"Oct 16, 2018","149.60","145.71","149.76","145.26","18.37M","3.77%"
"Oct 15, 2018","144.16","144.77","145.69","142.30","18.57M","-2.13%"
"Oct 12, 2018","147.29","148.62","149.00","144.52","30.76M","3.80%"
"Oct 11, 2018","141.90","135.53","142.91","135.14","43.21M","2.61%"
"Oct 10, 2018","138.29","142.50","144.00","137.92","55.83M","-5.89%"
"Oct 09, 2018","146.94","147.97","150.59","146.47","31.07M","-2.78%"
"Oct 08, 2018","151.14","150.20","152.64","148.34","25.06M","-2.26%"
"Oct 05, 2018","154.63","156.14","157.12","152.25","20.27M","-0.96%"
"Oct 04, 2018","156.13","160.06","160.08","153.87","32.18M","-3.84%"
"Oct 03, 2018","162.37","163.15","164.54","161.93","13.12M","1.34%"
"Oct 02, 2018","160.23","159.79","161.03","158.27","14.73M","-1.09%"
"Oct 01, 2018","162.00","165.92","165.95","161.56","10.62M","-1.68%"
"Sep 28, 2018","164.76","164.90","165.66","163.30","10.49M","-0.94%"
